keyword,destination_url
shortlinks,https://prose.io/#patcon/go.talent.c4nada.ca/edit/main/shortlinks.csv
shortlinks-gh,https://github.com/patcon/go.talent.c4nada.ca/blob/main/shortlinks.csv
shortlinks-changelog,https://github.com/patcon/go.talent.c4nada.ca/commits/main/shortlinks.csv
shortlinks-status,https://github.com/patcon/go.talent.c4nada.ca/actions/workflows/update-shortlinks.yml
shortlinks-about,https://prose.io/#patcon/go.talent.c4nada.ca/edit/main/shortlinks.csv
figma,https://www.figma.com/files/team/968615166805902879/GC-Digital-Talent
office,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=i2Y-0vgBDFYgiU7k
office-tea,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=1pbDX5YKjUXg8Jt0
office-lab,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=-LcOIhiv1xop0nwt
office-return,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice
office-edit,https://app.gather.town/mapmaker/nWrXrRG1riSo7SLw/TalentCloudForestOffice
office-beta,https://app.staging.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=i2Y-0vgBDFYgiU7k
onboarding,https://trello.com/b/PMhTjbcA/gc-digital-talent-tech-onboarding-template
chat,https://talent-cloud.slack.com/
dns,https://github.com/g0v-network/domains/tree/main/c4nada.ca.domain
auth-keys,https://te-auth.id.tbs-sct.gc.ca/oxauth/restv1/jwks
auth-config,https://te-auth.id.tbs-sct.gc.ca/oxauth/.well-known/openid-configuration
speedlinks,https://handbook.hypha.coop/guides.html#accessing-shortlinks
my-tickets,https://github.com/GCTC-NTGC/gc-digital-talent/issues?q=is:open+assignee:@me+sort:updated-desc
my-reviews,https://github.com/GCTC-NTGC/gc-digital-talent/pulls?q=is:open+review-requested:@me+sort:updated-desc
my-prs,https://github.com/GCTC-NTGC/gc-digital-talent/pulls?q=is:open+assignee:@me+sort:updated-desc
gdrive,https://drive.google.com/drive/folders/0B7YPedMAnJ3KTndVLUVyTGc4eXM
gmail,https://mail.google.com/mail/#search/*@tbs-sct.gc.ca+label:inbox
code,https://github.com/gcTC-NTGC/gc-digital-talent/
repo,https://github.com/gcTC-NTGC/gc-digital-talent/
github,https://github.com/gcTC-NTGC
gh,https://github.com/gcTC-NTGC
storybook,https://main--61e099a1bb1465003a73d3ce.chromatic.com/
ui-library,https://www.chromatic.com/library?appId=61e099a1bb1465003a73d3ce&branch=main
ui-tests,https://www.chromatic.com/builds?appId=61e099a1bb1465003a73d3ce
ui-builds,https://www.chromatic.com/builds?appId=61e099a1bb1465003a73d3ce
ui-reviews,https://www.chromatic.com/pullrequests?appId=61e099a1bb1465003a73d3ce
chromatic,https://www.chromatic.com/pullrequests?appId=61e099a1bb1465003a73d3ce
notifications,https://github.com/notifications?query=repo:GCTC-NTGC/gc-digital-talent+reason:comment+reason:mention+reason:team-mention+reason:assign+reason:review-requested
zenhub,https://app.zenhub.com/workspaces/gc-digital-talent-6092dc05157fa30010edaef9/board
dojo-miro,https://miro.com/app/board/uXjVOYKIfbo=/
dojo-calls,https://bit.ly/33R1pUw
scrum-reminder-howto,https://docs.google.com/document/d/1AZYLj_SXILRK7TrmLQiDRQxGbkeoIm3I7JjToXkXyNU/edit#bookmark=id.80rak5wv4nam
scrum-notes,https://docs.google.com/document/d/1AZYLj_SXILRK7TrmLQiDRQxGbkeoIm3I7JjToXkXyNU/edit
sprint-notes,http://go.talent.c4nada.ca/scrum-notes
scrum-calls,https://bit.ly/patcon-talent-scrum-calls
sprint-calls,http://go.talent.c4nada.ca/scrum-calls
sprint-standup,http://go.talent.c4nada.ca/scrum-calls
standup,http://go.talent.c4nada.ca/scrum-calls
sprint-retro,http://go.talent.c4nada.ca/scrum-calls
retro,http://go.talent.c4nada.ca/scrum-calls
sprint-planning,http://go.talent.c4nada.ca/scrum-calls
planning,http://go.talent.c4nada.ca/scrum-calls
sprint-review,https://bit.ly/patcon-talent-sr
review,https://bit.ly/patcon-talent-sr
timer,https://cuckoo.team/gc-digital-talent
dojo-trello,https://trello.com/b/yKEhArGz/digital-dojo
retro-board,https://easyretro.io/publicboard/6CoM8fh8xRdeTfAYWHcLDQuk8tv2/56284f23-2cac-44d5-9d98-531be11a2ef4
calendar,https://bit.ly/patcon-talent-cal
webflow-iap,https://gc-demo-b13fe2.webflow.io/apprenticeship
webflow,https://gc-demo-b13fe2.webflow.io/
dojo-notes,https://docs.google.com/document/d/1yG51bXSH6zooMJX28xV3GO0C9OFC2gud5PoNPmWyxjA/edit
brinda-calls,https://bit.ly/3phdABu
grant-calls,https://bit.ly/33SOem9
learning-calls,https://bit.ly/3htq3hj
translation,https://github.com/GCTC-NTGC/gc-digital-talent/tree/main/frontend/common#translation-utility-script
ready,https://github.com/GCTC-NTGC/gc-digital-talent/blob/main/documentation/definition-of-ready.md
done,https://github.com/GCTC-NTGC/gc-digital-talent/blob/main/documentation/definition-of-done.md
dor,http://go.talent.c4nada.ca/ready
dod,http://go.talent.c4nada.ca/done
sociocracy-book,https://drive.google.com/uc?export=download&id=1mz8oIHUoVKAcn88pKcogi4Oxwg2JjLq8
grants-magic-hips,https://open.spotify.com/playlist/5wd9Ro5ycXEs1gxx2lMkCR?si=ac97b76e55134174&nd=1
video,https://vimeo.com/486606611/79e3081ea4
patcon-checkins,https://docs.google.com/document/d/1fCyzxq9ADsG-qIjJsOs93_mAfukoB28VYwed5HgaOPI/edit#
